sessiontime,pilot_index,worldpositionz,speed,throttle,steer,brake,gear,enginerpm,enginetemperature,fuelintank,currentlaptime,currentlapnum,lapdistance,totaldistance,worldpositionx,worldpositiony,lat,lon
482.48828,10,-1017.67377,257,1.0,0.00174,0.0,6,11802,89,50.97413,0.01955,6,1.93555,22628.49023,-800.91882,0.13666,-33.46074145434242,-70.65642710198603
482.53799,10,-1017.1524,257,0.97932,0.00578,0.0,7,11058,89,50.97377,0.06906,6,5.50781,22632.0625,-797.40717,0.15839,-33.460741258772224,-70.65649633884172
482.58841,10,-1016.61981,258,1.0,0.00508,0.0,7,10456,89,50.97199,0.11937,6,9.14648,22635.70117,-793.83197,0.18002,-33.46074106410203,-70.65656682875611
482.63965,10,-1016.07434,259,1.0,0.0,0.0,7,10448,89,50.97024,0.17046,6,12.86133,22639.41602,-790.1825,0.20183,-33.46074086781183,-70.65663878307633
482.6904,10,-1015.52911,260,1.0,-0.00276,0.0,7,10489,89,50.96849,0.22141,6,16.55664,22643.11133,-786.55029,0.22382,-33.46074066990163,-70.65671039712915
482.74051,10,-1014.98907,261,1.0,0.0,0.0,7,10530,89,50.96677,0.2716,6,20.21875,22646.77344,-782.95294,0.24707,-33.46074046065142,-70.6567813238345
482.78998,10,-1014.45264,262,1.0,0.0,0.0,7,10570,89,50.96507,0.32117,6,23.84961,22650.4043,-779.38666,0.27,-33.46074025428122,-70.65685163801618
482.8501,10,-1013.797,264,1.0,0.0,0.0,7,10617,89,50.963,0.38087,6,28.27734,22654.83203,-775.03564,0.29663,-33.46074001461098,-70.65693742459501
482.90109,10,-1013.23792,265,1.0,0.00123,0.0,7,10657,89,50.96124,0.43208,6,32.05078,22658.60547,-771.32904,0.31888,-33.46073981436078,-70.65701050560016
482.95935,10,-1012.59576,266,1.0,0.00174,0.0,7,10701,89,50.95921,0.49075,6,36.37891,22662.93359,-767.07727,0.3449,-33.460739580180544,-70.65709433546701
